Date,Time,State,Group,Unit_normalized,Sales_normalized
1-Oct-2020, Morning, WA, Kids,0.09523809523809523,0.09523809523809523
1-Oct-2020, Morning, WA, Men,0.09523809523809523,0.09523809523809523
1-Oct-2020, Morning, WA, Women,0.031746031746031744,0.031746031746031744
1-Oct-2020, Morning, WA, Seniors,0.20634920634920634,0.20634920634920634
1-Oct-2020, Afternoon, WA, Kids,0.015873015873015872,0.015873015873015872
1-Oct-2020, Afternoon, WA, Men,0.12698412698412698,0.12698412698412698
1-Oct-2020, Afternoon, WA, Women,0.015873015873015872,0.015873015873015872
1-Oct-2020, Afternoon, WA, Seniors,0.14285714285714285,0.14285714285714285
1-Oct-2020, Evening, WA, Kids,0.20634920634920634,0.20634920634920634
1-Oct-2020, Evening, WA, Men,0.20634920634920634,0.20634920634920634
1-Oct-2020, Evening, WA, Women,0.015873015873015872,0.015873015873015872
1-Oct-2020, Evening, WA, Seniors,0.12698412698412698,0.12698412698412698
1-Oct-2020, Morning, NT, Kids,0.1746031746031746,0.1746031746031746
1-Oct-2020, Morning, NT, Men,0.047619047619047616,0.047619047619047616
1-Oct-2020, Morning, NT, Women,0.031746031746031744,0.031746031746031744
1-Oct-2020, Morning, NT, Seniors,0.12698412698412698,0.12698412698412698
1-Oct-2020, Afternoon, NT, Kids,0.1746031746031746,0.1746031746031746
1-Oct-2020, Afternoon, NT, Men,0.031746031746031744,0.031746031746031744
1-Oct-2020, Afternoon, NT, Women,0.06349206349206349,0.06349206349206349
1-Oct-2020, Afternoon, NT, Seniors,0.047619047619047616,0.047619047619047616
1-Oct-2020, Evening, NT, Kids,0.1746031746031746,0.1746031746031746
1-Oct-2020, Evening, NT, Men,0.09523809523809523,0.09523809523809523
1-Oct-2020, Evening, NT, Women,0.1111111111111111,0.1111111111111111
1-Oct-2020, Evening, NT, Seniors,0.19047619047619047,0.19047619047619047
1-Oct-2020, Morning, SA, Kids,0.15873015873015872,0.15873015873015872
1-Oct-2020, Morning, SA, Men,0.15873015873015872,0.15873015873015872
1-Oct-2020, Morning, SA, Women,0.2222222222222222,0.2222222222222222
1-Oct-2020, Morning, SA, Seniors,0.4126984126984127,0.4126984126984127
1-Oct-2020, Afternoon, SA, Kids,0.2222222222222222,0.2222222222222222
1-Oct-2020, Afternoon, SA, Men,0.4126984126984127,0.4126984126984127
1-Oct-2020, Afternoon, SA, Women,0.30158730158730157,0.30158730158730157
1-Oct-2020, Afternoon, SA, Seniors,0.42857142857142855,0.42857142857142855
1-Oct-2020, Evening, SA, Kids,0.20634920634920634,0.20634920634920634
1-Oct-2020, Evening, SA, Men,0.31746031746031744,0.31746031746031744
1-Oct-2020, Evening, SA, Women,0.47619047619047616,0.47619047619047616
1-Oct-2020, Evening, SA, Seniors,0.30158730158730157,0.30158730158730157
1-Oct-2020, Morning, VIC, Kids,0.746031746031746,0.746031746031746
1-Oct-2020, Morning, VIC, Men,0.5396825396825397,0.5396825396825397
1-Oct-2020, Morning, VIC, Women,0.5079365079365079,0.5079365079365079
